title,artist,path,bpm,energy
Kira,lonelovee · Соломенцев Евгений Евгеньевич · Соломенцев Евгений Евгеньевич,media/Kira.mp3,123,0.38
Carol of the Bells,Halocene,media/Carol of the Bells.mp3,161,0.28
I Forgive You,Kelly Clarkson,media/I Forgive You.mp3,129,0.25
Get Out My Way,NEFFEX,media/Get Out My Way.mp3,172,0.3
I Really Want to Stay at Your House,Rosa Walton · Hallie Coggins,media/I Really Want to Stay at Your House.mp3,123,0.25
Never Forget You,Zara Larsson · MNEK,media/Never Forget You.mp3,144,0.29
John Hughes Movie,Henrik Michelson,media/John Hughes Movie.mp3,96,0.35
Hearts on Fire,ILLENIUM · Dabin · Lights,media/Hearts on Fire.mp3,185,0.27
Victoria's Secret,Jax,media/Victoria's Secret.mp3,83,0.21
Video Games,Lana Del Rey,media/Video Games.mp3,129,0.2
overwhelmed (Chri$tian Gate$ Remix),Royal & the Serpent,media/overwhelmed (Chri$tian Gate$ Remix).mp3,86,0.23
Flashbang dance (feat. n0thing),The Verkkars · n0thing,media/Flashbang dance (feat. n0thing).mp3,123,0.3
Friends,Why Don't We,media/Friends.mp3,96,0.27
mind games,renforshort,media/mind games.mp3,108,0.28
Bloodstream,The Chainsmokers,media/Bloodstream.mp3,92,0.27
Only Go Higher,Jerome,media/Only Go Higher.mp3,129,0.34
Taurus (From The Motion Picture Taurus),mgk · Naomi Wild,media/Taurus (From The Motion Picture Taurus).mp3,152,0.42
American Dream,Mia Vaile,media/American Dream.mp3,78,0.25
执迷不悟 (DJ版),小乐哥(王唯乐) · 潘艺翔 · 周仁,media/执迷不悟 (DJ版).mp3,129,0.34
The Search (Edit),NF,media/The Search (Edit).mp3,117,0.28
21,Gracie Abrams,media/21.mp3,123,0.31
Nothing at All,MagSonics,media/Nothing at All.mp3,112,0.18
Wellerman,Nathan Evans,media/Nathan Evans - Wellerman (Phav & Deliriouz Hardstyle Bootleg)  HQ Videoclip.mp3,152,0.27
Beautiful Mayhem,DeathbyRomy,media/Beautiful Mayhem.mp3,96,0.24
Dark Paradise (Original Mix),"Richard W Jr Nowels, Elizabeth Grant, Matt Lange, Tania Zygar",media/Dark Paradise (Original Mix).mp3,117,0.25
Luv Me a Little,ILLENIUM · Nina Nesbitt,media/Luv Me a Little.mp3,152,0.27
West Coast,OneRepublic,media/West Coast.mp3,136,0.22
"hate u, i love u",gnash · Olivia O'brien,"media/i hate u, i love u (feat. olivia o'brien).mp3",92,0.16
Mansion,NF · Fleurie,media/Mansion.mp3,99,0.3
You & Me,Le Shuuk · Jerome,media/You & Me.mp3,144,0.26
bandits rmx,wonder · Yun Head,media/bandits rmx.mp3,161,0.37
Lie,NF,media/Lie.mp3,129,0.25
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis · Macklemore · Ryan Lewis · Ray Dalton,media/Can't Hold Us (feat. Ray Dalton).mp3,144,0.28
Not Ok,Rob Ellmore,media/Not Ok.mp3,103,0.22
Hiding In The Blue,Christian F J Buettner,media/Hiding In The Blue.mp3,152,0.31
Warriors,League of Legends · 2WEI · Edda Hayes,media/Warriors.mp3,185,0.19
Miss Me the Same (with Anson Seabra),Sara Kays · Anson Seabra,media/Miss Me the Same (with Anson Seabra).mp3,136,0.28
Weak,AJR,media/Weak.mp3,123,0.24
Without You,John De Sohn · Rasmus Hagen · Björn Johnsson · Rasmus Mårshagen · Benjamin Roustaing,media/Without You.mp3,123,0.27
Land of Opportunity,A Great Big World,media/Land of Opportunity.mp3,96,0.22
Creep,Radiohead,media/Radiohead - Creep (Gamper & Dadoni feat. Ember Island Remix).mp3,123,0.3
Maybe Don't (feat. JP Saxe),Joe Rubel,media/Maybe Don't (feat. JP Saxe).mp3,161,0.29
Nevada (feat. Cozi Zuehlsdorff),Vicetone · Cozi Zuehlsdorff,media/Nevada (feat. Cozi Zuehlsdorff).mp3,123,0.3
Keep You Mine,NOTD · Shy Martin,media/Keep You Mine.mp3,136,0.26
Good Together (Acoustic),SHY Martin,media/Good Together (Acoustic).mp3,112,0.19
用情 (Remix),歪歪超 · 羊羊 · 歪歪超 · 薛忠铭 · 歪歪超 · 陈家丽,media/用情 (Remix).mp3,63,0.21
Drew Barrymore,Lu2vyk,media/Drew Barrymore (1).mp3,103,0.28
Love Language,Evelyne Brochu,media/Love Language.mp3,70,0.22
The Woodchuck Song,AronChupa · Little Sis Nora,media/The Woodchuck Song.mp3,129,0.26
Hot N Cold,Katy Perry,media/Hot N Cold.mp3,129,0.28
Bleeding Love,VAMERO · LIZOT,media/Bleeding Love.mp3,123,0.33
Hymn for the Weekend,Coldplay,media/Hymn for the Weekend.mp3,89,0.23
No Time To Die,Billie Eilish,media/No Time To Die.mp3,144,0.2
Don't Forget (Blaikz Remix),LIZOT · Nevve · Blaikz,media/Don't Forget (Blaikz Remix).mp3,123,0.32
Otaku Killers (feat. Pinkii),Shiki-Tmns · Pinkii · Diaboulik,media/Otaku Killers (feat. Pinkii).mp3,152,0.26
Runaway (U & I),Galantis,media/Runaway (U & I).mp3,123,0.28
Hypnotized (Acoustic),Purple Disco Machine · Sophie and the Giants,media/Hypnotized (Acoustic).mp3,108,0.24
Не исправлюсь,Дора · Мэйби Бэйби · Дарья Шиханова · Дарья Шиханова,media/Не исправлюсь.mp3,112,0.27
Waiting,Vicetone · Daisy Guttridge,media/Waiting.mp3,103,0.29
